source,depth_m,model,metric,control,treatment,abs_delta,rel_delta
exp3,2.0,refractive,xy_rmse_mm,0.7320597313432038,0.7320597313432038,0.0,0.0
exp3,2.0,refractive,z_rmse_mm,1.832450540814464,1.832450540814464,0.0,0.0
exp3,2.0,refractive,anisotropy_ratio,2.503143476355724,2.503143476355724,0.0,0.0
exp3,2.5,non_refractive,xy_rmse_mm,83.58691771194638,74.5974808361442,-8.989436875802184,-0.10754597874731057
exp3,2.5,non_refractive,z_rmse_mm,266.5326407644368,263.63284373547793,-2.899797028958858,-0.010879706968129718
exp3,2.5,non_refractive,anisotropy_ratio,3.1886884701616824,3.534071670792156,0.34538320063047356,0.10831512826116906
exp3,2.5,refractive,xy_rmse_mm,0.876902525085675,0.876902525085675,0.0,0.0
exp3,2.5,refractive,z_rmse_mm,2.151685161617373,2.151685161617373,0.0,0.0
exp3,2.5,refractive,anisotropy_ratio,2.4537335679437686,2.4537335679437686,0.0,0.0
exp2,1.1,non_refractive,signed_mean_mm,0.2000178220240137,0.207514925719677,0.00749710369566331,0.03748217843689561
exp2,1.1,non_refractive,rmse_mm,0.894758520456068,0.8997904053555391,0.005031884899471151,0.005623735102188628
exp2,1.1,refractive,signed_mean_mm,0.0278896611147961,0.0278896611147961,0.0,0.0
exp2,1.1,refractive,rmse_mm,0.4025468464986788,0.4025468464986788,0.0,0.0
exp2,1.2,non_refractive,signed_mean_mm,0.134231113385024,0.1428132880261763,0.008582174641152296,0.06393580761366015
exp2,1.2,non_refractive,rmse_mm,0.7286051140206496,0.7352162691212569,0.00661115510060728,0.009073714929236568
exp2,1.2,refractive,signed_mean_mm,0.0238825200383828,0.0238825200383828,0.0,0.0
exp2,1.2,refractive,rmse_mm,0.3784029159810728,0.3784029159810728,0.0,0.0
exp2,1.3,non_refractive,signed_mean_mm,0.1251963522778325,0.133513116083041,0.008316763805208516,0.06642976136199376
exp2,1.3,non_refractive,rmse_mm,0.5813753180727741,0.5831512323234099,0.001775914250635835,0.0030546777536461112
exp2,1.3,refractive,signed_mean_mm,0.0254213310171284,0.0254213310171284,0.0,0.0
exp2,1.3,refractive,rmse_mm,0.4041116831734022,0.4041116831734022,0.0,0.0
exp2,1.4,non_refractive,signed_mean_mm,0.147519294222114,0.158501103336374,0.01098180911426,0.07444320535946385
exp2,1.4,non_refractive,rmse_mm,0.4656427477585724,0.4694368925717069,0.0037941448131345035,0.008148188351258722
exp2,1.4,refractive,signed_mean_mm,0.0270198365373846,0.0270198365373846,0.0,0.0
exp2,1.4,refractive,rmse_mm,0.3918342553913853,0.3918342553913853,0.0,0.0
exp2,1.5,non_refractive,signed_mean_mm,0.1788393524484797,0.1922590464837483,0.013419694035268603,0.07503770200204996
exp2,1.5,non_refractive,rmse_mm,0.488703115895389,0.4931885015331224,0.0044853856377333745,0.009178140044217579
exp2,1.5,refractive,signed_mean_mm,0.0330305866999818,0.0330305866999818,0.0,0.0
exp2,1.5,refractive,rmse_mm,0.4221470576608551,0.4221470576608551,0.0,0.0
exp2,1.7,non_refractive,signed_mean_mm,0.2461796209809863,0.2633791423247619,0.017199521343775587,0.06986573980103736
exp2,1.7,non_refractive,rmse_mm,0.4987822140275504,0.5091116577299816,0.010329443702431162,0.020709326459384562
exp2,1.7,refractive,signed_mean_mm,0.0354577356842559,0.0354577356842559,0.0,0.0
exp2,1.7,refractive,rmse_mm,0.3981358150287537,0.3981358150287537,0.0,0.0
exp2,2.0,non_refractive,signed_mean_mm,0.3468287148995594,0.3709229930502619,0.024094278150702475,0.06947025178604403
exp2,2.0,non_refractive,rmse_mm,0.5763634516448156,0.5927310259981912,0.016367574353375547,0.028398008768019657
exp2,2.0,refractive,signed_mean_mm,0.0333200429824262,0.0333200429824262,0.0,0.0
exp2,2.0,refractive,rmse_mm,0.3845335540912565,0.3845335540912565,0.0,0.0
exp2,2.5,non_refractive,signed_mean_mm,0.5709196306510849,0.6046812902919162,0.03376165964083133,0.05913557325455608
exp2,2.5,non_refractive,rmse_mm,0.9211616757759246,0.9372578747441184,0.01609619896819381,0.017473804427040947
exp2,2.5,refractive,signed_mean_mm,0.0482255313489289,0.0482255313489289,0.0,0.0
exp2,2.5,refractive,rmse_mm,0.4134814071693797,0.4134814071693797,0.0,0.0
