camera,frame_idx,corner_id,stage,h_q_m,h_c_m,r_q_m,chord_incidence_deg,extended,nan_reason,n_flagged_at_stage,truncated,bucket,provenance
e3v83e9,23,1,stage3_intrinsic_pass,-0.0475596305724952,1.0572725774184537,0.3788078326855837,20.564277073991487,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83e9,23,11,stage3_intrinsic_pass,-0.0131447375475768,1.0572725774184537,0.3013742835393611,16.10011489751087,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83e9,23,12,stage3_intrinsic_pass,-0.0039574187238635,1.0572725774184537,0.3514437176251473,18.45152692740912,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,0,stage3_intrinsic_pass,-0.0567469493962085,1.0763196837067268,0.3184284509463587,17.344397777411036,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,1,stage3_intrinsic_pass,-0.0475596305724952,1.0763196837067268,0.2621206272569233,14.294403009838412,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,2,stage3_intrinsic_pass,-0.0383723117487821,1.0763196837067268,0.2074824195942664,11.304250114525832,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,3,stage3_intrinsic_pass,-0.0291849929250689,1.0763196837067268,0.1562749883810023,8.488206771475847,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,4,stage3_intrinsic_pass,-0.0199976741013558,1.0763196837067268,0.1132518251152559,6.119496843519722,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,5,stage3_intrinsic_pass,-0.0108103552776426,1.0763196837067268,0.0908915075023705,4.87571806748766,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,6,stage3_intrinsic_pass,-0.0016230364539295,1.0763196837067268,0.103574817044653,5.504928397329587,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,11,stage3_intrinsic_pass,-0.0131447375475768,1.0763196837067268,0.3384923453747945,17.660371403564202,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
e3v83eb,23,12,stage3_intrinsic_pass,-0.0039574187238635,1.0763196837067268,0.284756804827294,14.871219032389922,True,2,198,False,above_interface,provisional; git_sha=7118e0bcef20a53701f31778f045694c540787a4; opencv=4.13.0; truncated=false; n_flagged_at_stage=198; probe=.planning/probes/2026-08-17-degeneracy-classification; run=2026-08-18 instrumented E2 via config_paper_instrumented.yaml; NOT a section-3 number -- Phase 29 frozen table is the sole source
