seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized
43,1.333,1.341,0.008000000000000007,0.006001500375093779,0.7066266439134712,0.3456867321926155,0.4833194387017432,0.03048487177010218,1.0005080811961684,0.05080811961684084,0.03750167743707955,0.01330644217976129,1.0468976610769782,0.04853207864135722,4710,30,0,0,0,0,0,0
43,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.7075119090674231,0.34618393866680297,0.4841704375491819,0.03249715926551252,1.0005416193210919,0.05416193210918685,0.03750167743707955,0.0166602546721073,1.0468976610769782,0.05173565107927424,4710,30,0,0,0,0,0,0
44,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.707506484940115,0.37652762231358355,0.5563420648734475,0.030286695677848235,1.0005047782612975,0.05047782612974672,0.060203331116537306,0.00972550498679059,1.0468976610769782,0.0482165812442627,4710,30,0,0,0,0,0,0
44,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7065565289823842,0.3767203113828714,0.5570020462930427,0.03143555441415471,1.0005239259069025,0.05239259069025337,0.060203331116537306,0.007810740426283935,1.0468976610769782,0.0500455704871433,4710,30,0,0,0,0,0,0
44,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7058270169246648,0.37694532079872833,0.5577041002771895,0.0325931469155002,1.0005432191152583,0.05432191152583421,0.060203331116537306,0.005881419590703096,1.0468976610769782,0.05188846393061139,4710,30,0,0,0,0,0,0
44,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7053172043717153,0.37723171686656876,0.5584482494682821,0.03376007107066749,1.0005626678511779,0.05626678511778671,0.060203331116537306,0.003936545998750596,1.0468976610769782,0.05374621341679492,4710,30,0,0,0,0,0,0
44,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.7050263951650965,0.3775816197032844,0.5592343414030932,0.03493513128096328,1.000582252188016,0.0582252188016108,0.060203331116537306,0.0019781123149265056,1.0468976610769782,0.05561691554617917,4710,30,0,0,0,0,0,0
44,1.333,1.333,0.0,0.0,0.7049535424039456,0.3779728469619776,0.5600631203878942,0.03612199866992071,1.0006020333111654,0.060203331116537306,0.060203331116537306,0.0,1.0468976610769782,0.057506414767040506,4710,30,0,0,0,0,0,0
44,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.7050968209089339,0.3783858772318246,0.5609339090169596,0.0373182438008139,1.0006219707300135,0.06219707300134658,0.060203331116537306,0.0019937418848092747,1.0468976610769782,0.0594108434031292,4710,30,0,0,0,0,0,0
44,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7054545922478855,0.3788204548382879,0.561846430982503,0.03852267531277654,1.0006420445885462,0.064204458854622,0.060203331116537306,0.004001127738084698,1.0468976610769782,0.06132830480161046,4710,30,0,0,0,0,0,0
44,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7060251618977432,0.3792902576940586,0.562801872023537,0.03974043708340363,1.0006623406180568,0.06623406180568114,0.060203331116537306,0.006030730689143837,1.0468976610769782,0.06326698804307575,4710,30,0,0,0,0,0,0
44,1.333,1.341,0.008000000000000007,0.006001500375093779,0.7068064029295317,0.3797968222173922,0.5637989523748436,0.0409685431842121,1.0006828090530702,0.06828090530701658,0.060203331116537306,0.008077574190479275,1.0468976610769782,0.06522213951340168,4710,30,0,0,0,0,0,0
44,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.7077962163805613,0.38035691425745227,0.564837783120921,0.0422057008390176,1.000703428347317,0.070342834731707,0.060203331116537306,0.010139503615169687,1.0468976610769782,0.06719170110604984,4710,30,0,0,0,0,0,0
45,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7124558090422585,0.33506416898742053,0.4573966416901147,0.010840133569051242,1.0001806688928174,0.018066889281742604,0.030877864938982924,0.01281097565724032,1.0468976610769782,0.017257550526148465,4705,30,0,0,0,0,0,0
