residual_x_px,residual_y_px,camera,is_auxiliary
-14.509835605042781,-7.367863842010934,e3v8250,True
-14.503617321095135,-15.780963215288011,e3v8250,True
-14.388404986885007,2.593549367832395,e3v8250,True
-14.383396839618172,-12.34747378676741,e3v8250,True
-14.354447912687192,0.5201495091935158,e3v8250,True
-14.332310151858564,-7.087296610269618,e3v8250,True
-14.310376496676668,-39.34804601746259,e3v8250,True
-14.300439090689906,-16.977350054669387,e3v8250,True
-14.3002981289128,-1.066959171986241,e3v8250,True
-14.102240676088513,-16.104820521296233,e3v8250,True
-14.037740979808632,-10.82644336540534,e3v8250,True
-13.942365421051363,-14.764129882997622,e3v8250,True
-13.936426629076664,16.792930367603958,e3v8250,True
-13.9311309043253,-24.552403328128662,e3v8250,True
-13.927799475335632,1.1353156351886469,e3v8250,True
-13.923062241239677,-13.327479113283857,e3v8250,True
-13.864915411830566,21.679578395656506,e3v8250,True
-13.848346435933536,-17.59667270148475,e3v8250,True
-13.649734131040077,-11.595742784544996,e3v8250,True
-13.626856828211658,-11.270904596670107,e3v8250,True
-13.589993561151687,1.5181514049559155,e3v8250,True
-13.572518526140811,5.582324886941251,e3v8250,True
-13.533073391190328,0.7399827553830391,e3v8250,True
-13.480305337338336,-55.008094267385786,e3v8250,True
-13.444611116701026,-10.123619130288603,e3v8250,True
-13.4427088160528,-50.35585677108793,e3v8250,True
-13.433389381611505,-14.96250334783258,e3v8250,True
-13.364506541258379,-3.280954154938172,e3v8250,True
-13.337921519693964,1.699317326272194,e3v8250,True
-13.214978347006763,1.2395629142754387,e3v8250,True
