test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
2.5,refractive,0.04345541798115393,0.41328205617231123,1.0007242569663526,1.2232582894305215,2.0370421038025053,0.5849984558918773,2.1110839938803183,3.608700112997394,4312,44
1.1,non_refractive,0.23671468184225095,0.8940852999791419,1.003945244697371,1.2388241104774134,1.9662840143592777,10.408134376974969,63.788654479263556,6.128730872304817,4054,45
1.1,refractive,0.025585488804488455,0.4012518261336656,1.000426424813408,1.2388241104774134,1.9662840143592777,0.5670840485031724,1.7654809618356935,3.113261546495108,4054,45
1.2,non_refractive,0.20718541622300254,0.7813981658442456,1.0034530902703833,1.2388241104774134,1.9662840143592777,11.251193709824255,42.00220732145365,3.7331334260806837,4247,45
1.2,refractive,0.022541231530978343,0.37627236307877854,1.000375687192183,1.2388241104774134,1.9662840143592777,0.5688743472174621,1.6218851272327972,2.851042827235807,4247,45
1.3,non_refractive,0.17222168364114057,0.6213138317452986,1.002870361394019,1.2388241104774134,1.9662840143592777,11.746743619569425,20.81754604116745,1.7721971905887661,4282,45
1.3,refractive,0.02465850889076328,0.40482891744383853,1.0004109751481793,1.2388241104774134,1.9662840143592777,0.5913533062231079,1.6806642547280015,2.8420645273164573,4282,45
1.4,non_refractive,0.1684628219716865,0.5022330117211812,1.0028077136995281,1.2388241104774134,1.9662840143592777,12.35644203285229,5.52160470557278,0.446860406166467,4294,45
1.4,refractive,0.022877473669352968,0.3905890579493162,1.0003812912278225,1.2388241104774134,1.9662840143592777,0.585969377401869,1.6619162325931531,2.836182736992037,4294,45
1.5,non_refractive,0.15550176603936627,0.4895737902619626,1.002591696100656,1.2388241104774134,1.9662840143592777,13.199795431172577,23.308596367954788,1.765830121344859,4288,45
1.5,refractive,0.02892024639186518,0.4202432044570476,1.000482004106531,1.2388241104774134,1.9662840143592777,0.6287695812816506,1.7488884544243979,2.7814457099841827,4288,45
1.7,non_refractive,0.18068533190551858,0.44404754572762706,1.0030114221984252,1.2388241104774134,1.9662840143592777,14.661941312036966,65.58503130625229,4.473147853375266,4312,45
1.7,refractive,0.0332613072194417,0.3963137838113709,1.000554355120324,1.2388241104774134,1.9662840143592777,0.6477165497378038,1.6079185815838108,2.482441713485162,4312,45
2.0,non_refractive,0.23792849275403322,0.5229505243477152,1.003965474879234,1.2388241104774134,1.9662840143592777,17.033073503440832,129.17862306925696,7.583987883523294,4312,45
2.0,refractive,0.03173231116180846,0.3839796295931997,1.0005288718526968,1.2388241104774134,1.9662840143592777,0.6869797730944515,1.5143828873628458,2.204406805955023,4312,45
2.5,non_refractive,0.3686882833733873,0.8246984536145487,1.0061448047228898,1.2388241104774134,1.9662840143592777,20.808218642210914,230.96881744186504,11.099884205048134,4312,45
2.5,refractive,0.04534945394971667,0.41338121590980026,1.0007558242324952,1.2388241104774134,1.9662840143592777,0.7944969580548515,1.5052226365203523,1.894560603737935,4312,45
1.1,non_refractive,0.20401776205395214,0.8882424799739683,1.0034002960342325,1.215465955370196,2.0046278333472314,11.472537317463885,56.96783932845378,4.965583266548665,4054,46
1.1,refractive,0.029187357134893937,0.40026543139635445,1.0004864559522482,1.215465955370196,2.0046278333472314,0.5096775978881586,1.3764110412291148,2.7005523627725707,4054,46
1.2,non_refractive,0.17940222440093356,0.787226137066349,1.0029900370733489,1.215465955370196,2.0046278333472314,12.859824468743458,35.90205689166346,2.791799917559176,4247,46
1.2,refractive,0.025546051794033166,0.37696963956004526,1.0004257675299006,1.215465955370196,2.0046278333472314,0.4950712540058512,1.2410088109938824,2.5067276699107537,4247,46
1.3,non_refractive,0.1522787754219379,0.6131290162022385,1.0025379795903657,1.215465955370196,2.0046278333472314,13.839957727975758,16.167859892999797,1.1682015372285763,4282,46
1.3,refractive,0.025668949812172364,0.4030122720442923,1.000427815830203,1.215465955370196,2.0046278333472314,0.5325391159937873,1.3085194795138473,2.457133082275054,4282,46
